"id","title","street","locality","postal_code","country","region_full"
"7937339","Credit Analyst B - Temp","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"7468057","2022 Exelon Summer Internship: Electrical Engineer : NE Region (DE, PA, NJ)","630 Martin Luther King Bl","Wilmington","19899","United States","Delaware"
"7962758","Sr. Services Analyst - IT","None","PHILADELPHIA","19124","United States","Pennsylvania"
"7815111","Engineering Tech - Testing & Commissioning Engineering","1910 S BRIGGS ST","JOLIET","60433","United States","Illinois"
"7990409","General Engineer","300 Chesterfield Parkway","MALVERN","19355","United States","Pennsylvania"
"7855248","Credit Assistant Temp","5 Collins Drive","Carneys Point","08069","United States","New Jersey"
"8126280","Sr. Software Engineer","1 LINCOLN CTR","OAKBROOK TERRACE","60181","United States","Illinois"
"7601263","Senior Project Manager - ADMS","None","None","20002","United States","District of Columbia"
"8148811","Senior Project Manager","1310 Point Street","BALTIMORE","21231","United States","Maryland"
"7494688","2022 Exelon Summer Internship: Electrical Engineer : NE Region (DC, MD)","3400 Benning Road, N.E.","WASHINGTON","20019","United States","District of Columbia"
"8149614","Senior Project Manager","None","PHILADELPHIA","19124","United States","Pennsylvania"
"7907610","Billing Assistant","5 Collins Drive","Carneys Point","08069","United States","New Jersey"
"8149617","Senior Project Manager","None","Carneys Point","08069","United States","New Jersey"
"8149690","Sr. Software Engineer","None","BALTIMORE","21201","United States","Maryland"
"8149692","Sr. Software Engineer","None","WASHINGTON","20002","United States","District of Columbia"
"7795716","Sr Energy Acquisition Analyst","2 Center Plaza","BALTIMORE","21201","United States","Maryland"
"8158555","Facilities & Equipment Tech-BGE","7225 WINDSOR BLVD","BALTIMORE","21244","United States","Maryland"
"7468058","2022 Exelon Summer Internship: Finance & Accounting","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"8190258","Sr. Quantitative Engineer - Pepco Holding","401 Eagle Run Road,","Christiana","19702","United States","Delaware"
"7969605","Journey Line Mechanic SCD NERC","401 Eagle Run Road,","Christiana","19702","United States","Delaware"
"8210544","Mgr Utility Public Safety","11350 PULASKI HWY","WHITE MARSH","21162","United States","Maryland"
"8008578","Sr Engineer","2900 LORD BALTIMORE DR","BALTIMORE","21244","United States","Maryland"
"8271588","Overhead Electrical Specialist ","1040 JANES AVE # 262","BOLINGBROOK","60440","United States","Illinois"
"7468061","2022 Exelon Summer Internship: Finance & Accounting","1310 Point Street","BALTIMORE","21231","United States","Maryland"
"8317904","Distribution Designer D","3400 Benning Road, N.E.","WASHINGTON","20019","United States","District of Columbia"
"7882842","Senior Project Manager - Utility of the Future","None","None","20002","United States","District of Columbia"
"8337034","Sr Business Analyst","2900 LORD BALTIMORE DR","BALTIMORE","21244","United States","Maryland"
"8149613","Senior Project Manager","None","BALTIMORE","21201","United States","Maryland"
"7601266","Senior Project Manager - ADMS","None","Carneys Point","08069","United States","New Jersey"
"7905904","Sr Engineer","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"8345200","Assistant General Counsel - Privacy & Compliance","1310 Point Street","BALTIMORE","21231","United States","Maryland"
"7637609","Sr Engineering Design Tech","123 ENERGY AVE # 765","ROCKFORD","61109","United States","Illinois"
"8361744","ESOC Operator","11520 CRONRIDGE DR","OWINGS MILLS","21117","United States","Maryland"
"7921407","General Engineer (Capacity Planning)","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"8432968","Staff Accountant - BSC","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
"8153269","Facilities & Equipment Tech-BGE","2 Center Plaza","BALTIMORE","21201","United States","Maryland"
"8437376","Assoc Staff Accountant - BSC","630 Martin Luther King Bl","Wilmington","19899","United States","Delaware"
"8183152","Sr Engineer","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"8529800","Project Construction Mgr","1060 W SWEDESFORD RD","BERWYN","19312","United States","Pennsylvania"
"7806767","Assoc Supply Bus Ops Spec","2301 MARKET ST","PHILADELPHIA","19103","United States","Pennsylvania"
